Evaluation_Type,TOTAL_ENTRIES,CLOSE_MATCH,TOTAL_MORE_TR,TOTAL_LESS_TR,TOTAL_TRIPLES,FN,FP,TP,TN,ACC,R,P,F1
TOTAL,2433,0,211,530,7133,609,6519,5,0,0.001,0.008,0.001,0.001
SEEN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
UNSEEN,2433,0,211,530,7133,609,6519,5,0,0.001,0.008,0.001,0.001
CATEGORY ARTIST,599,0,31,204,1841,251,1590,0,0,0.000,0.000,0.000,0.000
CATEGORY ATHLETE,428,0,28,75,1136,82,1054,0,0,0.000,0.000,0.000,0.000
CATEGORY CELESTIALBODY,299,0,22,59,847,63,784,0,0,0.000,0.000,0.000,0.000
CATEGORY MEANOFTRANSPORTATION,548,0,46,113,1629,121,1503,5,0,0.003,0.040,0.003,0.006
CATEGORY POLITICIAN,559,0,84,79,1680,92,1588,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 1,544,0,25,0,570,0,570,0,0,0.000,NA,0.000,0.000
TRIPLES COUNT 2,503,0,71,57,1086,57,1029,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 3,532,0,67,109,1664,111,1553,0,0,0.000,0.000,0.000,0.000
TRIPLES COUNT 4,505,0,48,164,2068,189,1876,3,0,0.001,0.016,0.002,0.003
TRIPLES COUNT 5,349,0,0,200,1745,252,1491,2,0,0.001,0.008,0.001,0.002
