Evaluation_Type,Total entries,Matched entries,Proportion
TOTAL,2268,1018,"0,45"
SEEN,2268,1018,"0,45"
UNSEEN,0,0,--
CATEGORY AIRPORT,343,174,"0,51"
CATEGORY ASTRONAUT,188,53,"0,28"
CATEGORY BUILDING,299,134,"0,45"
CATEGORY CITY,72,48,"0,67"
CATEGORY COMICSCHARACTER,100,61,"0,61"
CATEGORY FOOD,461,195,"0,42"
CATEGORY MONUMENT,98,47,"0,48"
CATEGORY SPORTSTEAM,249,124,"0,50"
CATEGORY UNIVERSITY,142,37,"0,26"
CATEGORY WRITTENWORK,316,145,"0,46"
TRIPLES COUNT 1,532,405,"0,76"
TRIPLES COUNT 2,415,247,"0,60"
TRIPLES COUNT 3,452,168,"0,37"
TRIPLES COUNT 4,440,111,"0,25"
TRIPLES COUNT 5,307,70,"0,23"
TRIPLES COUNT 6,64,12,"0,19"
TRIPLES COUNT 7,58,5,"0,09"
