Evaluation_Type,Total entries,Matched entries,Proportion
TOTAL,2268,1118,"0,49"
SEEN,2268,1118,"0,49"
UNSEEN,0,0,--
CATEGORY AIRPORT,343,195,"0,57"
CATEGORY ASTRONAUT,188,56,"0,30"
CATEGORY BUILDING,299,146,"0,49"
CATEGORY CITY,72,48,"0,67"
CATEGORY COMICSCHARACTER,100,63,"0,63"
CATEGORY FOOD,461,212,"0,46"
CATEGORY MONUMENT,98,50,"0,51"
CATEGORY SPORTSTEAM,249,141,"0,57"
CATEGORY UNIVERSITY,142,44,"0,31"
CATEGORY WRITTENWORK,316,163,"0,52"
TRIPLES COUNT 1,532,405,"0,76"
TRIPLES COUNT 2,415,247,"0,60"
TRIPLES COUNT 3,452,199,"0,44"
TRIPLES COUNT 4,440,148,"0,34"
TRIPLES COUNT 5,307,97,"0,32"
TRIPLES COUNT 6,64,15,"0,23"
TRIPLES COUNT 7,58,7,"0,12"
