Evaluation_Type,Total entries,Matched entries,Proportion,M. Entries (Token),Proportion (Token)
TOTAL,2268,1018,"0,45",1118,"0,49"
SEEN,2268,1018,"0,45",1118,"0,49"
UNSEEN,0,0,--,0,--
CATEGORY AIRPORT,343,174,"0,51",195,"0,57"
CATEGORY ASTRONAUT,188,53,"0,28",56,"0,3"
CATEGORY BUILDING,299,134,"0,45",146,"0,49"
CATEGORY CITY,72,48,"0,67",48,"0,67"
CATEGORY COMICSCHARACTER,100,61,"0,61",63,"0,63"
CATEGORY FOOD,461,195,"0,42",212,"0,46"
CATEGORY MONUMENT,98,47,"0,48",50,"0,51"
CATEGORY SPORTSTEAM,249,124,"0,5",141,"0,57"
CATEGORY UNIVERSITY,142,37,"0,26",44,"0,31"
CATEGORY WRITTENWORK,316,145,"0,46",163,"0,52"
TRIPLES COUNT 1,532,405,"0,76",405,"0,76"
TRIPLES COUNT 2,415,247,"0,6",247,"0,6"
TRIPLES COUNT 3,452,168,"0,37",199,"0,44"
TRIPLES COUNT 4,440,111,"0,25",148,"0,34"
TRIPLES COUNT 5,307,70,"0,23",97,"0,32"
TRIPLES COUNT 6,64,12,"0,19",15,"0,23"
TRIPLES COUNT 7,58,5,"0,09",7,"0,12"
